name,description,external_url,background_color,youtube_url,background color, shape, max shapes
Fun & Tranquillity,Your closest friends are the ones you can have a relationship with about nothing.,https://github.com/greenido/NFTs-p5/blob/main/images/m_205.png ,#dce9b5,https://www.youtube.com/watch?v=IwmJ48Ke5SQ,48 / 67 / 150,Square,205
Thanks & Compensation,Trade money for time, not time for money. You’re going to run out of time first.,https://github.com/greenido/NFTs-p5/blob/main/images/m_228.png ,#dce9b5,https://www.youtube.com/watch?v=IwmJ48Ke5SQ,82 / 235 / 136,Square,228
Equality & Freedom,In an age of infinite leverage, judgement is the most important skill.,https://github.com/greenido/NFTs-p5/blob/main/images/m_33.png ,#dce9b5,https://www.youtube.com/watch?v=IwmJ48Ke5SQ,52 / 232 / 232,Triangle,33
